member_id,full_name,gender,branch,occupation,phone_number,join_date,monthly_contribution_kes,member_status,national_id
MEM0001,Fredrick Gicheru,Female,Nakuru,Nurse,0711558648,2021-08-02,1500,Active,36192194
MEM0002,Eric Korir,Male,Nairobi,Accountant,0712204415,2018-08-17,5000,Active,13769334
MEM0003,Francis Okumu,Male,Mombasa,Accountant,0711628751,2018-02-21,2000,Active,27842986
MEM0004,Victor Awuor,Female,Nairobi,Shopkeeper,0733762113,2022-02-27,2000,Active,15309113
MEM0005,Winnie Mbugua,Female,Nakuru,Civil Servant,0720983981,2019-07-18,1000,Active,36796266
MEM0006,Njoroge Chepkemoi,Male,Kisumu,Nurse,0700978012,2019-05-17,1000,Active,27230212
MEM0007,Lilian Kamau,Male,Nairobi,Shopkeeper,0711438065,2019-04-03,500,Active,38397093
MEM0008,Esther Wanjiku,Male,Nairobi,Small Business Owner,0712197784,2018-10-13,3000,Active,38571127
MEM0009,George Mulwa,Male,Kisumu,Nurse,0733126885,2022-02-17,2000,Active,12943738
MEM0010,Fredrick Odero,Male,Kisumu,Shopkeeper,0720112098,2018-07-29,2000,Active,29257735
MEM0011,Lilian Kimani,Male,Nairobi,Shopkeeper,0711129169,2021-10-17,500,Inactive,25718466
MEM0012,Lilian Awuor,Male,Nakuru,Small Business Owner,0733699569,2022-02-25,5000,Active,30469259
MEM0013,Mark Ogol,Male,Nakuru,Police Officer,0720126518,2023-01-02,2500,Active,31816219
MEM0014,Mutua Waithaka,Male,Kisumu,Engineer,0711575745,2021-01-21,1000,Active,16405120
MEM0015,Mark Ogol,Female,Nairobi,Driver,0701295617,2018-06-28,1000,Active,35229824
MEM0016,Erick Mwenda,Female,Mombasa,Small Business Owner,0712784219,2021-04-24,1000,Active,12452277
MEM0017,Rose Ogola,Male,Kisumu,Nurse,0712411345,2020-05-14,1000,Active,35740117
MEM0018,Thomas Waithaka,Male,Mombasa,Accountant,0712661425,2018-03-07,1500,Active,32949659
MEM0019,Henry Odhiambo,Male,Kisumu,Nurse,0712861593,2018-03-03,1500,Active,24460172
MEM0020,Rotich Kilonzo,Male,Nairobi,Civil Servant,0720907814,2018-07-11,1000,Active,37439330
MEM0021,Stephen Matheka,Female,Mombasa,Driver,0700791281,2019-03-24,2000,Active,19290044
MEM0022,Simon Aoko,Female,Nakuru,Driver,0722388321,2019-04-22,1000,Active,25626807
MEM0023,Mwikali Owino,Male,Nairobi,Driver,0733250753,2020-10-31,1000,Active,25142732
MEM0024,Peter Otieno,Female,Kisumu,Police Officer,0722769396,2021-05-17,1500,Active,39841828
MEM0025,Ian Ndolo,Female,Nairobi,Driver,0733216320,2018-02-24,1500,Active,39546039
MEM0026,Harrison Ochieng,Female,Nakuru,Shopkeeper,0729724840,2021-02-23,2500,Suspended,34794597
MEM0027,Michael Ndolo,Male,Kisumu,Engineer,0733212278,2019-02-12,1000,Active,15107162
MEM0028,Gregory Kimani,Female,Nakuru,Farmer,0711396183,2022-01-06,1500,Active,31825268
